no,id,name,play_name,normalized_genre,libretto,first_author,title,subtitle,num_of_co_authors,max_degree_ids,num_of_segments,num_of_acts,num_of_speakers,num_of_speakers_male,num_of_speakers_female,num_of_speakers_unknown,num_of_person_groups,num_of_p,num_of_l,wikipedia_link_count,word_count_text,word_count_sp,word_count_stage,year_written,year_premiered,year_printed,year_normalized,average_degree,density,average_clustering,size,max_degree,num_connected_components,diameter,average_path_length
37,ger000242,bernard-faust,bernard-faust,,True,Bernard,Faust,Große romantische Oper in drei Akten,0,chor,46,3,22,12,7,3,7,0,1434,9.0,10145,9458,1945,,1816,,1816,9.363636363636363,0.4458874458874459,0.8004584210079567,22,19.0,1.0,3.0,1.5757575757575757
53,ger000048,brandes-ariadne-auf-naxos,brandes-ariadne-auf-naxos,,True,Brandes,Ariadne auf Naxos,Ein Duodrama mit Musick,0,ariadne,2,0,3,1,2,0,0,0,184,4.0,2472,1930,305,,1775,,1775,1.3333333333333333,0.6666666666666666,0.0,3,2.0,1.0,2.0,1.3333333333333333
54,ger000177,brandes-ino,brandes-ino,,True,Brandes,Ino,Ein Melodrama,0,chor,11,0,9,1,3,5,4,185,52,0.0,2468,2096,311,1777,1779,1779,1779,3.111111111111111,0.3888888888888889,0.6555555555555556,9,6.0,1.0,4.0,1.9444444444444444
56,ger000202,braun-von-braunthal-das-nachtlager-von-granada,braun-von-braunthal-das-nachtlager-von-granada,,True,Braun von Braunthal,Das Nachtlager von Granada,Romantische Oper in zwei Aufzügen,0,jaeger|chor_der_hirten|gabriele,19,2,11,9,1,1,3,0,1096,6.0,9227,8758,2556,,1834,,1834,6.909090909090909,0.6909090909090909,0.8796536796536796,11,10.0,1.0,2.0,1.309090909090909
67,ger000219,bunge-der-trompeter-von-saekkingen,bunge-der-trompeter-von-saekkingen,,True,Bunge,Der Trompeter von Säkkingen,"Oper in 3 Akten, nebst einem Vorspiel",0,conradin|werner,4,3,19,12,3,4,10,0,1315,2.0,7637,7458,39,,1884,,1884,11.368421052631579,0.631578947368421,0.8760369661298455,19,18.0,1.0,2.0,1.368421052631579
68,ger000542,busoni-doktor-faust,busoni-doktor-faust,,True,Busoni,Doktor Faust,,0,mephistopheles|faust,6,0,40,31,2,7,7,252,427,8.0,7031,6113,1560,,1925,1920,1920,16.65,0.4269230769230769,0.928480427822533,40,39.0,1.0,2.0,1.573076923076923
69,ger000145,busoni-turandot,busoni-turandot,,True,Busoni,Turandot,Eine chinesische Fabel nach Gozzi in zwei Akten,0,kalaf,4,2,16,9,6,1,7,176,352,7.0,4505,4220,710,,1917,1920,1917,9.5,0.6333333333333333,0.9259615384615384,16,14.0,1.0,3.0,1.3916666666666666
72,ger000433,chezy-euryanthe,chezy-euryanthe,,True,Chézy,Euryanthe,Romantische Oper in drei Aufzügen,0,adolar|chor|lysiart,25,3,12,6,4,2,5,0,1046,18.0,8939,7778,2683,,1823,,1823,7.5,0.6818181818181818,0.8410052910052911,12,10.0,1.0,2.0,1.3181818181818181
76,ger000318,cornelius-der-barbier-von-bagdad,cornelius-der-barbier-von-bagdad,,True,Cornelius,Der Barbier von Bagdad,Komische Oper in zwei Aufzügen,0,kadi,20,2,18,12,3,3,8,0,978,11.0,7362,7001,1955,,1858,,1858,8.222222222222221,0.48366013071895425,0.8390319556986223,18,15.0,1.0,2.0,1.5163398692810457
84,ger000055,devrient-hans-heiling,devrient-hans-heiling,,True,Devrient,Hans Heiling,Romantische Oper in drei Aufzügen und einem Vorspiel,0,stephan,29,3,17,8,5,4,9,156,1220,9.0,14069,12682,4269,,1833,,1833,8.941176470588236,0.5588235294117647,0.8557716793010911,17,15.0,1.0,3.0,1.4558823529411764
87,ger000352,dovsky-mona-lisa,dovsky-mona-lisa,,True,Dovsky,Mona Lisa,Oper in zwei Akten,0,several characters,2,2,20,10,6,4,6,0,1044,4.0,6161,6034,0,,1915,,1915,17.9,0.9421052631578948,0.9742690058479532,20,19.0,1.0,2.0,1.0578947368421052
108,ger000026,gehe-jessonda,gehe-jessonda,,True,Gehe,Jessonda,Oper in drei Aufzügen,0,several characters,3,3,14,8,6,0,5,0,945,3.0,5007,4909,33,,1828,,1828,12.0,0.9230769230769231,0.9420579420579422,14,13.0,1.0,2.0,1.0769230769230769
139,ger000009,gotter-der-dorfjahrmarkt,gotter-der-dorfjahrmarkt,,True,Gotter,Der Dorfjahrmarkt,Eine komische Oper in zwei Aufzügen,0,lukas|fikfak,25,2,18,14,4,0,2,623,226,0.0,11547,11210,1474,,1775,1778,1775,10.666666666666666,0.6274509803921569,0.806425364758698,18,16.0,1.0,3.0,1.3986928104575163
140,ger000061,gotter-die-geisterinsel,gotter-die-geisterinsel,,True,Gotter,Die Geisterinsel,Ein Singspiel in drey Akten,1,prospero|miranda,28,3,13,10,1,2,4,356,1079,1.0,13185,11699,2425,,1798,,1798,9.23076923076923,0.7692307692307693,0.8470529470529473,13,12.0,1.0,2.0,1.2307692307692308
141,ger000246,gotter-medea,gotter-medea,,True,Gotter,Medea,,0,medea,5,0,5,3,2,0,0,43,0,3.0,2222,2161,304,,1775,1782,1775,2.8,0.7,0.7,5,4.0,1.0,2.0,1.3
183,ger000329,haffner-die-fledermaus,haffner-die-fledermaus,,True,Haffner,Die Fledermaus,Operette in drei Aufzügen,1,chor_der_gaeste_alle,41,3,29,17,11,1,3,759,1023,33.0,16654,15972,1743,,1874,,1874,19.862068965517242,0.7093596059113301,0.8758079381712301,29,26.0,1.0,3.0,1.3152709359605912
230,ger000267,hofmannsthal-ariadne-auf-naxos,hofmannsthal-ariadne-auf-naxos,,True,Hofmannsthal,Ariadne auf Naxos,Oper in einem Aufzuge nebst einem Vorspiel / Neue Bearbeitung,0,zerbinetta|der_tenor_bacchus|primadonna_ariadne,2,1,17,12,5,0,0,177,546,21.0,7914,7737,1802,,1916,1912,1912,10.235294117647058,0.6397058823529411,0.9279411764705883,17,16.0,1.0,2.0,1.3602941176470589
234,ger000109,hofmannsthal-der-rosenkavalier,hofmannsthal-der-rosenkavalier,,True,Hofmannsthal,Der Rosenkavalier,Komödie für Musik,0,several characters,3,3,32,20,6,6,11,0,1785,31.0,20724,19753,7619,1909/1910,1911,1911,1911,17.25,0.5564516129032258,0.9146343940911004,32,31.0,1.0,2.0,1.4435483870967742
241,ger000012,hofmannsthal-die-frau-ohne-schatten,hofmannsthal-die-frau-ohne-schatten,,True,Hofmannsthal,Die Frau ohne Schatten,Oper in drei Akten,0,several characters,3,3,24,9,4,11,9,0,1929,18.0,12151,11963,3702,1911/1915,1919,1919,1919,15.583333333333334,0.677536231884058,0.8935987448859303,24,23.0,1.0,2.0,1.3224637681159421
274,ger000405,kind-der-freischuetz,kind-der-freischuetz,,True,Kind,Der Freischütz,Romantische Oper in drei Aufzügen,0,max|kaspar,20,3,23,12,6,5,9,295,608,37.0,11301,10571,2774,,1821,,1821,8.434782608695652,0.383399209486166,0.7673428529263768,23,19.0,1.0,4.0,1.774703557312253
320,ger000438,kupelwieser-fierrabras,kupelwieser-fierrabras,,True,Kupelwieser,Fierrabras,Heroisch-romantische Oper in drei Akten,0,emma|roland|die_ritter,33,3,18,12,6,0,7,0,780,12.0,6927,6109,2147,,1897,,1897,8.444444444444445,0.49673202614379086,0.828058053058053,18,14.0,1.0,3.0,1.5620915032679739
322,ger000537,lachmann-salome,lachmann-salome,,True,Lachmann,Salome,Drama in einem Aufzuge,0,erster_soldat|jochanaan,4,0,17,15,2,0,0,259,0,32.0,6253,6144,475,,1905,1905,1905,10.470588235294118,0.6544117647058824,0.9169467787114846,17,16.0,1.0,2.0,1.3455882352941178
355,ger000147,lortzing-der-waffenschmied,lortzing-der-waffenschmied,,True,Lortzing,Der Waffenschmied,Komische Oper in drei Aufzügen,0,several characters,38,3,12,8,2,2,4,453,1127,5.0,13441,12872,1294,,1846,,1846,9.166666666666666,0.8333333333333334,0.8949735449735451,12,11.0,1.0,2.0,1.1666666666666667
356,ger000269,lortzing-der-wildschuetz,lortzing-der-wildschuetz,,True,Lortzing,Der Wildschütz oder Die Stimme der Natur,Komische Oper in drei Aufzügen,0,graf|baculus|baron,45,3,16,7,7,2,5,559,1548,8.0,18356,17670,1938,,1842,,1842,7.5,0.5,0.8542297979797981,16,12.0,1.0,3.0,1.575
357,ger000094,lortzing-zar-und-zimmermann,lortzing-zar-und-zimmermann,,True,Lortzing,Zar und Zimmermann,Komische Oper in drei Aufzügen,0,van_bett|iwanow|zar,37,3,20,11,5,4,10,441,1274,11.0,16328,15596,1890,,1837,1891,1837,7.8,0.4105263157894737,0.8521944721944722,20,15.0,1.0,3.0,1.6842105263157894
370,ger000454,mosenthal-das-goldene-kreuz,mosenthal-das-goldene-kreuz,,True,Mosenthal,Das goldene Kreuz,Oper in zwei Aufzügen,0,several characters,14,2,10,5,4,1,5,199,831,4.0,9422,8958,1156,,1875,,1875,7.8,0.8666666666666667,0.9166666666666666,10,9.0,1.0,2.0,1.1333333333333333
371,ger000036,mosenthal-die-koenigin-von-saba,mosenthal-die-koenigin-von-saba,,True,Mosenthal,Die Königin von Saba,Oper in vier Aufzügen,0,several characters,22,4,14,8,4,2,6,0,831,9.0,7308,6242,2440,,1875,,1875,9.857142857142858,0.7582417582417582,0.9130230880230881,14,12.0,1.0,3.0,1.2527472527472527
372,ger000334,mosenthal-die-lustigen-weiber-von-windsor,mosenthal-die-lustigen-weiber-von-windsor,,True,Mosenthal,Die lustigen Weiber von Windsor,Komisch-phantastische Oper in drei Aufzügen,0,falstaff,43,3,22,12,3,7,8,204,1088,16.0,12183,11475,2303,,1849,,1849,8.090909090909092,0.3852813852813853,0.8828606924863608,22,18.0,1.0,3.0,1.7272727272727273
416,ger000570,raupach-agnes-von-hohenstaufen,raupach-agnes-von-hohenstaufen,,True,Raupach,Agnes von Hohenstaufen,Große historisch-romantische Oper in 3 Aufzügen,0,irmengard|agnes|philipp,30,3,27,19,5,3,9,0,1208,0.0,8999,8157,1433,,1829,1837,1829,12.88888888888889,0.49572649572649574,0.8438369393477755,27,22.0,1.0,3.0,1.5584045584045585
419,ger000139,reinick-genoveva,reinick-genoveva,,True,Reinick,Genoveva,Oper in vier Akten,1,margaretha|golo,4,4,19,10,5,4,10,0,1100,13.0,6182,6125,43,,1850,,1850,10.105263157894736,0.5614035087719298,0.8782522860696236,19,18.0,1.0,2.0,1.4385964912280702
421,ger000307,riese-martha,riese-martha,,True,Riese,Martha oder Der Markt zu Richmond,Romantisch-Komische Oper in vier Aufzügen,0,maegde_vier_maegde_weitere_maegde_alle_maegde,28,4,24,11,10,3,10,0,1619,16.0,8670,8260,714,,1847,,1847,9.583333333333334,0.4166666666666667,0.8499292986425341,24,17.0,1.0,3.0,1.7427536231884058
423,ger000162,roeber-koenig-manfred,roeber-koenig-manfred,,True,Roeber,König Manfred,Oper in fünf Akten,0,ghismonde,31,5,25,16,7,2,13,0,1145,0.0,6512,6368,20,,1867,,1867,7.04,0.29333333333333333,0.7309613427508165,25,19.0,2.0,3.0,1.7401574803149606
450,ger000256,schikaneder-die-zauberfloete,schikaneder-die-zauberfloete,,True,Schikaneder,Die Zauberflöte,Große Oper in zwey Aufzügen,0,tamino|papageno,49,2,27,17,6,4,4,366,785,59.0,12760,11677,2178,,1791,,1791,8.296296296296296,0.3190883190883191,0.7637981118373275,27,18.0,1.0,3.0,1.8034188034188035
472,ger000292,schnitzer-der-zigeunerbaron,schnitzer-der-zigeunerbaron,,True,Schnitzer,Der Zigeunerbaron,Operette in 3 Acten,0,several characters,14,3,19,11,5,3,8,0,1571,22.0,8208,7979,341,,1885,,1885,14.0,0.7777777777777778,0.9112070334206557,19,17.0,1.0,3.0,1.2280701754385965
490,ger000154,schober-alfonso-und-estrella,schober-alfonso-und-estrella,,True,Schober,Alfonso und Estrella,Romantische Oper in drei Akten,0,chor_der_frauen,23,3,18,11,4,3,10,0,918,9.0,6163,5702,886,,1854,,1854,8.777777777777779,0.5163398692810458,0.8210598043931375,18,14.0,1.0,3.0,1.522875816993464
503,ger000095,sonnleithner-fidelio,sonnleithner-fidelio,,True,Sonnleithner,Fidelio,Oper in zwei Aufzügen,2,pizarro|rocco,20,2,12,9,2,1,3,160,664,42.0,8488,7862,1835,,1805,,1805,6.0,0.5454545454545454,0.8615079365079366,12,9.0,1.0,3.0,1.5757575757575757
509,ger000381,stephanie-die-entfuehrung-aus-dem-serail,stephanie-die-entfuehrung-aus-dem-serail,,True,Stephanie,Die Entführung aus dem Serail,Ein Singspiel in drey Aufzügen,0,pedrillo,28,3,9,7,2,0,0,287,482,37.0,9670,9308,1032,,1782,,1782,4.888888888888889,0.6111111111111112,0.746031746031746,9,7.0,2.0,2.0,1.2142857142857142
510,ger000133,stephanie-die-liebe-im-narrenhause,stephanie-die-liebe-im-narrenhause,,True,Stephanie,Die Liebe im Narrenhause,Eine komische Oper in zwey Aufzügen,0,several characters,41,2,11,7,4,0,0,394,806,0.0,14944,14417,2020,,1787,,1787,10.0,1.0,1.0,11,10.0,1.0,1.0,1.0
511,ger000344,stephanie-doktor-und-apotheker,stephanie-doktor-und-apotheker,,True,Stephanie,Doktor und Apotheker,Komische Oper in zwei Aufzügen,0,krautmann,45,2,10,7,3,0,0,421,1183,6.0,19328,18428,3929,,1786,,1786,7.4,0.8222222222222222,0.8777777777777779,10,9.0,1.0,2.0,1.1777777777777778
540,ger000317,wagner-das-rheingold,wagner-das-rheingold,,True,Wagner,Das Rheingold,,0,wotan|loge|alberich,4,0,14,8,6,0,0,0,1876,32.0,10404,10082,2726,,1869,1853,1853,11.571428571428571,0.8901098901098901,0.9725274725274726,14,13.0,1.0,2.0,1.10989010989011
541,ger000245,wagner-der-fliegende-hollaender,wagner-der-fliegende-hollaender,,True,Wagner,Der fliegende Holländer,,0,several characters,3,3,9,6,3,0,3,0,828,36.0,7017,6718,1635,,1843,,1843,8.0,1.0,1.0,9,8.0,1.0,1.0,1.0
543,ger000422,wagner-die-meistersinger-von-nuernberg,wagner-die-meistersinger-von-nuernberg,,True,Wagner,Die Meistersinger von Nürnberg,,0,david|walther,14,3,32,26,3,3,10,0,3031,34.0,23376,22099,5902,,1868,,1868,18.9375,0.6108870967741935,0.8858208387514802,32,31.0,1.0,2.0,1.3891129032258065
545,ger000349,wagner-die-walkuere,wagner-die-walkuere,,True,Wagner,Die Walküre,,0,wotan|bruennhilde,11,3,14,3,11,0,0,0,2296,36.0,12854,12120,3565,,1870,1853,1853,9.142857142857142,0.7032967032967034,0.9332334332334332,14,13.0,1.0,2.0,1.2967032967032968
546,ger000319,wagner-goetterdaemmerung,wagner-goetterdaemmerung,,True,Wagner,Götterdämmerung,,0,siegfried,12,3,15,5,10,0,0,0,2055,35.0,12856,12319,4169,,1876,1853,1853,5.6,0.4,0.8209686609686611,15,13.0,1.0,3.0,1.638095238095238
547,ger000175,wagner-lohengrin,wagner-lohengrin,,True,Wagner,Lohengrin,Romantische Oper in drei Aufzügen,0,ortrud|elsa,11,3,25,18,6,1,15,0,1227,37.0,11960,10925,3830,,1850,,1850,11.92,0.49666666666666665,0.7585794924030218,25,20.0,2.0,3.0,1.4173228346456692
548,ger000413,wagner-parsifal,wagner-parsifal,,True,Wagner,Parsifal,Ein Bühnenweihfestspiel,0,kundry|parsifal,3,3,23,15,7,1,5,0,1293,39.0,10676,10453,3528,,1882,1877,1877,13.478260869565217,0.6126482213438735,0.9631093544137023,23,22.0,1.0,2.0,1.3873517786561265
549,ger000105,wagner-siegfried,wagner-siegfried,,True,Wagner,Siegfried,,0,siegfried|wandrer,8,3,8,5,2,1,0,0,2766,33.0,15041,14528,3593,,1876,1853,1853,4.25,0.6071428571428571,0.7291666666666667,8,6.0,1.0,3.0,1.4285714285714286
550,ger000415,wagner-tannhaeuser,wagner-tannhaeuser,,True,Wagner,Tannhäuser und Der Sängerkrieg auf Wartburg,Große romantische Oper in drei Akten,0,tannhaeuser,11,3,17,13,4,0,6,0,882,36.0,7847,7188,2056,,1845,,1845,11.882352941176471,0.7426470588235294,0.9209736342089284,17,16.0,1.0,2.0,1.2573529411764706
551,ger000166,wagner-tristan-und-isolde,wagner-tristan-und-isolde,,True,Wagner,Tristan und Isolde,,0,isolde|brangaene|kurwenal,11,3,10,8,2,0,1,0,2378,46.0,10931,10413,2162,1859,1865,1859,1859,7.2,0.8,0.8892857142857142,10,9.0,1.0,2.0,1.2
565,ger000257,weidmann-der-dorfbarbier,weidmann-der-dorfbarbier,,True,Weidmann,Der Dorfbarbier,Komische Oper in einem Akt,1,adam|lux,13,0,11,7,2,2,2,216,304,1.0,6037,5914,558,,1796,,1796,6.181818181818182,0.6181818181818182,0.8221500721500722,11,9.0,2.0,2.0,1.2444444444444445
568,ger000186,weisse-die-jagd,weisse-die-jagd,,True,Weiße,Die Jagd,Eine komische Oper in drey Aufzügen,0,toeffel,34,3,17,10,3,4,4,709,583,2.0,21531,20708,1814,,1770,1770,1770,7.764705882352941,0.4852941176470588,0.8887791946615475,17,13.0,1.0,3.0,1.588235294117647
575,ger000169,wette-haensel-und-gretel,wette-haensel-und-gretel,,True,Wette,Hänsel und Gretel,Märchenspiel in drei Bildern,0,haensel|gretel,11,3,9,4,3,2,1,0,835,22.0,6460,6056,1961,,1893,,1893,4.0,0.5,0.8571428571428572,9,8.0,1.0,2.0,1.5
576,ger000333,widmann-der-widerspenstigen-zaehmung,widmann-der-widerspenstigen-zaehmung,,True,Widmann,Der Widerspenstigen Zähmung,Komische Oper in vier Akten,0,hortensio|katharine,22,4,19,8,5,6,8,1,1293,4.0,9896,9489,1008,,1874,,1874,7.2631578947368425,0.40350877192982454,0.8137015031751873,19,14.0,1.0,3.0,1.6900584795321638
578,ger000373,wieland-alceste,wieland-alceste,,True,Wieland,Alceste,Ein Singspiel in fünf Aufzügen,0,several characters,5,5,5,2,2,1,0,0,982,2.0,6156,6065,422,,1773,1773,1773,4.0,1.0,1.0,5,4.0,1.0,1.0,1.0
589,ger000295,wohlbrueck-der-vampyr,wohlbrueck-der-vampyr,,True,Wohlbrück,Der Vampyr,Romantische Oper in vier Aufzügen,0,ruthwen,39,4,26,15,5,6,9,162,1615,11.0,17291,16319,4291,,1828,,1828,7.769230769230769,0.31076923076923074,0.8141827127121245,26,18.0,1.0,4.0,1.9692307692307693
6,fre000006,aigueberre-pan-et-doris,aigueberre-pan-et-doris,,False,Dumas d'Aigueberre,Pan et Doris Pastorale,,0,palemon|pan,7,1,9,3,0,6,0,0,233,,2289,1628,11,,,1729,1729.0,6.666666666666667,0.8333333333333334,0.9523809523809523,9,8.0,1.0,2.0,1.1666666666666667
50,fre001505,arago-mademoiselle-lange,arago-mademoiselle-lange,,False,Arago,Mademoiselle Lange,Vaudeville,0,julie|simon,18,0,7,2,2,3,0,379,73,,6116,5919,166,,1701-12-13,1846,1701.0,4.857142857142857,0.8095238095238095,0.9238095238095239,7,6.0,1.0,2.0,1.1904761904761905
63,fre000057,arnould-heroine-americaine,arnould-heroine-americaine,,False,Arnould,L'Héroïne Américaine,Pantomime en Trois Actes,0,,39,3,0,0,0,1,0,0,0,,3268,0,54,,,1786,1786.0,,,,0,,,,
72,fre000065,audinot-dorothee,audinot-dorothee,,False,Nicolas-Médard AUDINOT (1732-1801),Dorothée,Pantomime à Spectacle,0,,53,4,0,0,0,1,0,0,0,,3950,0,3278,,1782,1782,1782.0,,,,0,,,,
